group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
PRODUCERS,PRODUCERS,ALL CLASSES,"DAYS WORKED OFF OPERATION, GE 200 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,ESTATE OR SUCCESSION PLANNING DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,HIRED MANAGER,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,LAND USE OR CROP DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,LIVESTOCK DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"PRIMARY OCCUPATION, (EXCL FARMING)",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"PRIMARY OCCUPATION, FARMING",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,RECORD KEEPING OR FINANCIAL MGMT DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"RESIDENCE, NOT ON OPERATION",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"RESIDENCE, ON OPERATION",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON ANY OPERATION, 6 TO 10 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON ANY OPERATION, LT 11 YEARS",AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON ANY OPERATION, LT 11 YEARS",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON ANY OPERATION, LT 11 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON ANY OPERATION, LT 6 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON PRESENT OPERATION, 3 TO 4 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON PRESENT OPERATION, 5 TO 9 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON PRESENT OPERATION, GE 10 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ALL CLASSES,"YEARS ON PRESENT OPERATION, LT 3 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,AMERICAN INDIAN OR ALASKA NATIVE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,AMERICAN INDIAN OR ALASKA NATIVE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,AMERICAN INDIAN OR ALASKA NATIVE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"AMERICAN INDIAN OR ALASKA NATIVE, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ASIAN,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ASIAN,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,ASIAN,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"ASIAN, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,BLACK OR AFRICAN AMERICAN,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,BLACK OR AFRICAN AMERICAN,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,BLACK OR AFRICAN AMERICAN,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"BLACK OR AFRICAN AMERICAN, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,"AGE, AVG",YEARS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES / OPERATION,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,"AREA OPERATED: (1,000 OR MORE ACRES)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (180 TO 499 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (50 TO 179 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (10,000 TO 24,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (100,000 OR MORE $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (2,500 TO 4,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (25,000 TO 49,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (5,000 TO 9,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (50,000 TO 99,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,FARM SALES,"FARM SALES: (LESS THAN 2,500 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,AREA OPERATED,"AREA OPERATED: (1,000 OR MORE ACRES)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,AREA OPERATED,AREA OPERATED: (180 TO 499 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,AREA OPERATED,AREA OPERATED: (50 TO 179 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES)
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (10,000 TO 24,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (100,000 OR MORE $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (2,500 TO 4,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (25,000 TO 49,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (5,000 TO 9,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (50,000 TO 99,999 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,PCT OF FARM OPERATIONS,FARM SALES,"FARM SALES: (LESS THAN 2,500 $)"
PRODUCERS,PRODUCERS,FEMALE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,"DAYS WORKED OFF OPERATION, 0 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,"DAYS WORKED OFF OPERATION, 1 TO 199 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,"DAYS WORKED OFF OPERATION, GE 200 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,"PRIMARY OCCUPATION, (EXCL FARMING)",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,"PRIMARY OCCUPATION, FARMING",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,FEMALE,"YEARS ON ANY OPERATION, LT 11 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"FEMALE, AGE 35 TO 64",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"FEMALE, AGE GE 65",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"FEMALE, AGE LT 35",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,HISPANIC,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,HISPANIC,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,HISPANIC,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"HISPANIC, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MALE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MALE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST",ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST",ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"MILITARY SERVICE, NEVER SERVED OR ONLY ON ACTIVE DUTY FOR TRAINING IN RESERVES OR NATIONAL GUARD",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MULTI-RACE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MULTI-RACE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,MULTI-RACE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"MULTI-RACE, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,WHITE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,WHITE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,WHITE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,PRODUCERS,"WHITE, FEMALE",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE 25 TO 34,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE 35 TO 44,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE 45 TO 54,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE 55 TO 64,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE 65 TO 74,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE GE 75,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE LE 35,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE LE 35,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE LE 35,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AGE LT 25,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,"AGE, AVG",YEARS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (1 FEMALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (1 MALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (1 PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (2 FEMALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (2 MALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (2 PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (3 FEMALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (3 MALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (3 PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (4 FEMALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (4 MALE PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,"PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL: (4 PRODUCERS)"
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,PERSONS IN HOUSEHOLD,PERSONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,"YEARS ON ANY OPERATION, AVG",YEARS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ALL PRODUCTION PRACTICES,"YEARS ON PRESENT OPERATION, AVG",YEARS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,DAY TO DAY DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"DAYS WORKED OFF OPERATION, 0 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"DAYS WORKED OFF OPERATION, 1 TO 49 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"DAYS WORKED OFF OPERATION, 100 TO 199 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"DAYS WORKED OFF OPERATION, 50 TO 99 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"DAYS WORKED OFF OPERATION, GE 1 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"DAYS WORKED OFF OPERATION, GE 200 DAYS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,ESTATE OR SUCCESSION PLANNING DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,HIRED MANAGER,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,LAND USE OR CROP DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,LIVESTOCK DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"PRIMARY OCCUPATION, (EXCL FARMING)",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"PRIMARY OCCUPATION, FARMING",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,RECORD KEEPING OR FINANCIAL MGMT DECISIONMAKING,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"RESIDENCE, NOT ON OPERATION",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"RESIDENCE, ON OPERATION",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON ANY OPERATION, 6 TO 10 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON ANY OPERATION, LT 11 YEARS",AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON ANY OPERATION, LT 11 YEARS",OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON ANY OPERATION, LT 11 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON ANY OPERATION, LT 6 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON PRESENT OPERATION, 3 TO 4 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON PRESENT OPERATION, 5 TO 9 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON PRESENT OPERATION, GE 10 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ALL CLASSES,"YEARS ON PRESENT OPERATION, LT 3 YEARS",PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AMERICAN INDIAN OR ALASKA NATIVE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AMERICAN INDIAN OR ALASKA NATIVE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",AMERICAN INDIAN OR ALASKA NATIVE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ASIAN,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ASIAN,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",ASIAN,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
